Reference, Value, Footprint, Datasheet, Descripcion, Fabricante, Nro. parte, Digikey/Mouser, Desc, Manf, Manf#, Digikey#
R45,10,chip_rlc:r_0402,,RES SMD 10 OHM 5% 1/16W 0402,Yageo,RC0402JR-0710RL,311-10JRCT-ND,,,,
R17,100,chip_rlc:r_0402,,RES SMD 100 OHM 5% 1/16W 0402,Yageo,RC0402JR-07100RL,311-100JRCT-ND,,,,
R19,100,chip_rlc:r_0402,,RES SMD 100 OHM 5% 1/16W 0402,Yageo,RC0402JR-07100RL,311-100JRCT-ND,,,,
R22,100,chip_rlc:r_0402,,RES SMD 100 OHM 5% 1/16W 0402,Yageo,RC0402JR-07100RL,311-100JRCT-ND,,,,
R24,100,chip_rlc:r_0402,,RES SMD 100 OHM 5% 1/16W 0402,Yageo,RC0402JR-07100RL,311-100JRCT-ND,,,,
R20,130,chip_rlc:r_2512,,RES SMD 130 OHM 1% 2W 2512,TE Connectivity,3521130RFT,A116011CT-ND,,,,
R25,240,chip_rlc:r_0402,,RES SMD 240 OHM 1% 1/16W 0402,Yageo,RC0402FR-07240RL,311-240LRCT-ND,,,,
R27,374,chip_rlc:r_0402,,RES SMD 374 OHM 1% 1/16W 0402,Yageo,RC0402FR-07374RL,YAG3137CT-ND,,ON Semiconductor,MBR0520LT1G,MBR0520LT1GOSCT-ND
R26,866,chip_rlc:r_0402,,RES SMD 866 OHM 1% 1/16W 0402,Yaego,RC0402FR-07866RL,YAG3248CT-ND,,ON Semiconductor,MBR0520LT1G,MBR0520LT1GOSCT-ND
U12,+5V_USB,,,,,,,,,,
U13,+5V_USB,,,,,,,,,,
C35,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C3,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C2,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C12,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C16,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C17,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C37,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C38,0.1uF,chip_rlc:c_0402,,CAP CER 0.1UF 10V X5R 0402,Yageo,CC0402KRX5R6BB104,311-1336-1-ND,,,,
C13,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
C15,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
C14,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
C25,0.1uF x 25V,chip_rlc:c_0603,,CAP CER 0.1UF 25V X7R 0603,Yageo,CC0603KRX7R8BB104,311-1341-1-ND,,,,
